,county_name,county_code,year,pm25,year_cnty
0,Glenn,11,2015,5.394358974358975,2015.0_11.0
0,Glenn,11,2016,4.676581196581197,2016.0_11.0
1,Imperial,13,2015,7.006163522012583,2015.0_13.0
1,Imperial,13,2016,7.730566037735851,2016.0_13.0
2,Napa,28,2015,7.681428571428571,2015.0_28.0
2,Napa,28,2016,6.74214285714286,2016.0_28.0
3,San Francisco,38,2015,4.479799999999998,2015.0_38.0
3,San Francisco,38,2016,4.0188,2016.0_38.0
4,Santa Barbara,42,2015,8.909,2015.0_42.0
4,Santa Barbara,42,2016,8.534,2016.0_42.0
5,Ventura,56,2015,4.840943396226415,2015.0_56.0
5,Ventura,56,2016,4.43,2016.0_56.0
